poeple_id,name
0,John Lasseter
1,Randy Newman
2,Bonnie Arnold
3,Ralph Guggenheim
4,Joel Cohen
5,Alec Sokolow
6,Andrew Stanton
7,Joss Whedon
8,Pete Docter
9,Joe Ranft
10,Darla K. Anderson
11,Kevin Reher
12,Donald McEnery
13,Bob Shaw
14,Ash Brannon
15,Lee Unkrich
16,Karen Robert Jackson
17,Helene Plotkin
18,Doug Chamberlin
19,Rita Hsiao
20,Chris Webb
21,David Silverman
22,Dan Gerson
23,Jill Culton
24,Ralph Eggleston
25,Jeff Pidgeon
26,Thomas Newman
27,Graham Walters
28,Bob Peterson
29,David Reynolds
30,Brad Bird
31,Michael Giacchino
32,John Walker
33,Dan Fogelman
34,Jorgen Klubien
35,Phil Lorin
36,Kiel Murray
37,Jan Pinkava
38,Brad Lewis
39,Jim Capobianco
40,Jim Morris
41,Jim Reardon
42,Jonas Rivera
43,Tom McCarthy
44,Michael Arndt
45,Denise Ream
46,Ben Queen
47,Mark Andrews
48,Dan Scanlon
49,Kori Rae
50,Robert L. Baird
51,Ronnie del Carmen
52,Josh Cooley
53,Meg LeFauve
54,del Carmen
55,Peter Sohn
56,Mychael
57,Jeff Danna
58,Erik Benson
59,Kelsey Mann
60,Angus MacLane
61,Lindsey Collins
62,Victoria Strouse
63,Brian Fee
64,Mike Rich
65,Eyal Podell
66,Jonathan E. Stewart
67,Adrian Molina
68,Matthew Aldrich
69,Jason Katz
70,Nicole Paradis Grindle
71,Mark Nielsen
72,Stephany Folsom
73,Martin Hynes
74,Rashida Jones
75,Valerie LaPointe
76,Will McCormack
77,Keith Bunin
78,Jason Headley
79,Kemp Powers
80,Trent Reznor
81,Atticus Ross
82,Dana Murray
83,Mike Jones
84,Jesse Andrews
85,Domee Shi
86,Ludwig G̦ransson
87,Julia Cho
88,Sarah Streicher
89,Galyn Susman
90,John Hoberg
91,Brenda Hsueh
92,Kat Likkel
93,Andrea Datzman
94,Dave Holstein
